Gene stable ID,Human gene stable ID,Human gene name,"Human orthology confidence [0 low, 1 high]",Gene name
ENSMUSG00000094303,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000094303,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000094303,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000094303,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000094303,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000094303,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000094303,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000094303,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000094303,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000094303,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000094303,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000094303,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000094303,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000094303,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000094303,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000094303,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000094303,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000094303,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000094722,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000094722,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000094722,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000094722,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000094722,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000094722,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000094722,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000094722,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000094722,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000094722,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000094722,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000094722,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000094722,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000094722,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000094722,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000094722,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000094722,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000094722,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000094722,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000094722,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000094722,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000094722,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000095666,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000095666,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000095666,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000095666,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000095666,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000095666,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000095666,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000095666,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000095666,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000095666,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000095666,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000095666,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000095666,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000095666,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000095666,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000095666,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000095666,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000095666,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000095666,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000095666,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000095666,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000095666,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000094741,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000094741,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000094741,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000094741,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000094741,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000094741,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000094741,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000094741,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000094741,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000094741,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000094741,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000094741,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000094741,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000094741,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000094741,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000094741,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000094741,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000094741,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000094741,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000094741,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000094741,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000094741,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000079222,,,,
ENSMUSG00000094836,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000094836,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000094836,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000094836,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000094836,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000094836,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000094836,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000094836,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000094836,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000094836,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000094836,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000094836,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000094836,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000094836,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000094836,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000094836,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000094836,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000094836,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000094836,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000094836,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000094836,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000094836,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000095742,,,,
ENSMUSG00000095041,,,,
ENSMUSG00000094915,ENSG00000067066,SP100,0,
ENSMUSG00002075729,,,,
ENSMUSG00000079808,ENSG00000135899,SP110,0,
ENSMUSG00000074720,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000074720,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000074720,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000074720,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000074720,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000074720,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000074720,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000074720,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000074720,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000074720,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000074720,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000074720,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000074720,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000074720,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000074720,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000074720,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000074720,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000074720,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000074720,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000074720,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000074720,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000074720,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000096244,,,,
ENSMUSG00000096236,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000096236,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000096236,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000096236,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000096236,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000096236,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000096236,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000096236,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000096236,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000096236,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000096236,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000096236,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000096236,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000096236,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000096236,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000096236,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000096236,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000096236,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000096236,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000096236,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000096236,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000096236,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000095728,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000095728,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000095728,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000095728,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000095728,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000095728,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000095728,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000095728,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000095728,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000095728,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000095728,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000095728,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000095728,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000095728,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000095728,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000095728,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000095728,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000095728,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000095728,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000095728,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000095728,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000095728,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000094383,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000094383,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000094383,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000094383,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000094383,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000094383,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000094383,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000094383,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000094383,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000094383,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000094383,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000094383,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000094383,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000094383,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000094383,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000094383,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000094383,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000094383,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000094383,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000094383,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000094383,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000094383,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000096680,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000096680,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000096680,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000096680,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000096680,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000096680,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000096680,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000096680,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000096680,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000096680,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000096680,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000096680,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000096680,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000096680,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000096680,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000096680,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000096680,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000096680,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000096680,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000096680,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000096680,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000096680,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000094874,ENSG00000135899,SP110,0,
ENSMUSG00000094337,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000094337,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000094337,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000094337,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000094337,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000094337,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000094337,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000094337,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000094337,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000094337,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000094337,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000094337,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000094337,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000094337,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000094337,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000094337,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000094337,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000094337,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000094337,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000094337,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000094337,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000094337,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000096756,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000096756,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000096756,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000096756,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000096756,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000096756,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000096756,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000096756,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000096756,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000096756,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000096756,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000096756,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000096756,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000096756,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000096756,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000096756,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000096756,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000096756,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000096756,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000096756,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000096756,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000096756,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000095076,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000095076,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000095076,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000095076,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000095076,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000095076,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000095076,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000095076,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000095076,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000095076,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000095076,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000095076,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000095076,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000095076,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000095076,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000095076,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000095076,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000095076,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000095076,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000095076,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000095076,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000095076,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000095500,,,,
ENSMUSG00000095505,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000095505,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000095505,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000095505,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000095505,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000095505,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000095505,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000095505,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000095505,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000095505,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000095505,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000095505,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000095505,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000095505,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000095505,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000095505,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000095505,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000095505,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000095505,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000095505,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000095505,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000095505,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000094474,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000094474,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000094474,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000094474,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000094474,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000094474,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000094474,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000094474,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000094474,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000094474,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000094474,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000094474,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000094474,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000094474,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000094474,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000094474,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000094474,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000094474,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000094474,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000094474,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000094474,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000094474,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000095450,,,,
ENSMUSG00000095570,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000095570,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000095570,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000095570,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000095570,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000095570,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000095570,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000095570,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000095570,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000095570,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000095570,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000095570,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000095570,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000095570,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000095570,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000095570,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000095570,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000095570,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000095570,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000095570,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000095570,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000095570,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000094728,,,,
ENSMUSG00000094791,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000094791,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000094791,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000094791,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000094791,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000094791,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000094791,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000094791,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000094791,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000094791,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000094791,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000094791,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000094791,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000094791,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000094791,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000094791,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000094791,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000094791,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000094791,ENSG00000204481,PRAMEF14,0,
ENSMUSG00000094791,ENSG00000229571,PRAMEF25,0,
ENSMUSG00000094791,ENSG00000270601,PRAMEF5,0,
ENSMUSG00000094791,ENSG00000116726,PRAMEF12,0,
ENSMUSG00000096728,ENSG00000204480,PRAMEF19,0,
ENSMUSG00000096728,ENSG00000182330,PRAMEF8,0,
ENSMUSG00000096728,ENSG00000239810,PRAMEF11,0,
ENSMUSG00000096728,ENSG00000279804,PRAMEF18,0,
ENSMUSG00000096728,ENSG00000243073,PRAMEF4,0,
ENSMUSG00000096728,ENSG00000204510,PRAMEF7,0,
ENSMUSG00000096728,ENSG00000204501,PRAMEF15,0,
ENSMUSG00000096728,ENSG00000204478,PRAMEF20,0,
ENSMUSG00000096728,ENSG00000120952,PRAMEF2,0,
ENSMUSG00000096728,ENSG00000280267,PRAMEF26,0,
ENSMUSG00000096728,ENSG00000204479,PRAMEF17,0,
ENSMUSG00000096728,ENSG00000279169,PRAMEF13,0,
ENSMUSG00000096728,ENSG00000116721,PRAMEF1,0,
ENSMUSG00000096728,ENSG00000274764,PRAMEF27,0,
ENSMUSG00000096728,ENSG00000232423,PRAMEF6,0,
ENSMUSG00000096728,ENSG00000204505,PRAMEF9,0,
ENSMUSG00000096728,ENSG00000187545,PRAMEF10,0,
ENSMUSG00000096728,ENSG00000237700,PRAMEF33,0,
ENSMUSG00000096728,ENSG00000204481,PRAMEF14,0,
